"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","BPCC","6","0.6454972243679028","0.5633466135458167","0.8827348295047495"
"Drosophila melanogaster","200","0.2","0.9","BPCC","2","0.6629935441317959","0.5729083665338646","1.0"
"Drosophila melanogaster","200","0.2","0.9","BPCC","8","0.5345224838248488","0.5824701195219123","1.0"
"Drosophila melanogaster","200","0.2","0.9","BPCC","4","0.8770580193070292","0.5984063745019921","1.0"
"Drosophila melanogaster","200","0.2","0.9","BPCC","5","0.5590169943749475","0.6749003984063745","1.0"
"Drosophila melanogaster","200","0.2","0.9","BPCC","0","0.7412493166611012","0.5976095617529881","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.9","BPCC","9","0.5773502691896257","0.5976095617529881","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.9","BPCC","3","0.6953534953651154","0.5784860557768924","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.9","BPCC","7","0.8100925873009825","0.701195219123506","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.9","BPCC","1","0.6953534953651154","0.6247011952191235","0.8827348295047495"
"Mus musculus","100","0.2","0.9","BPCC","3","0.4472135954999579","0.607457898957498","1.0"
"Mus musculus","100","0.2","0.9","BPCC","7","0.5773502691896257","0.5821972734562951","1.0"
"Mus musculus","100","0.2","0.9","BPCC","9","0.8660254037844386","0.5886126704089816","1.0"
"Mus musculus","100","0.2","0.9","BPCC","5","0.37267799624996495","0.5866078588612671","1.0"
"Mus musculus","100","0.2","0.9","BPCC","6","0.7071067811865476","0.5926222935044105","1.0"
"Mus musculus","100","0.2","0.9","BPCC","8","0.5773502691896257","0.5821972734562951","1.0"
"Mus musculus","100","0.2","0.9","BPCC","0","0.5477225575051662","0.4955894145950281","1.0"
"Mus musculus","100","0.2","0.9","BPCC","1","0.5916079783099616","0.582598235765838","1.0"
"Mus musculus","100","0.2","0.9","BPCC","2","0.5916079783099616","0.6792301523656776","1.0"
"Mus musculus","100","0.2","0.9","BPCC","4","0.9354143466934853","0.5978348035284683","1.0"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","4","0.5061201788784757","0.9062146892655367","0.8634593969478327"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","5","0.4993838568207847","0.7084745762711865","0.8557152100494996"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","1","0.6333158210716047","0.8468926553672317","0.8651709137847686"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","3","0.6078306738548308","0.7271186440677966","0.8552829214591187"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","9","0.5085476277156078","0.8548022598870056","0.8634593969478327"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","6","0.7664453168004357","0.7446327683615819","0.8040209600141104"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","7","0.6795753527744529","0.7502824858757062","0.8745243846847748"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","0","0.6474132191558134","0.8350282485875706","0.8213137116947162"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","8","0.7088462838917843","0.6790960451977401","0.8846153846153846"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","2","0.6079728398429414","0.8214689265536723","0.8544176881355023"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","5","0.43424811867344754","0.7790055248618785","0.8798826901281198"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","6","0.427617987059879","0.6397790055248619","0.7745966692414834"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","9","0.5512908203729234","0.5022099447513813","1.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","8","0.4407785320154718","0.7585635359116022","0.9837387536759294"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","7","0.4407785320154718","0.649171270718232","1.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","1","0.828078671210825","0.6734806629834255","1.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","0","0.8684962373468951","0.7569060773480663","0.9672041516493516"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","4","0.43424811867344754","0.6734806629834255","0.9503819266229829"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","3","0.4407785320154718","0.7707182320441989","0.8798826901281198"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","2","0.43424811867344754","0.8121546961325967","0.8650936924831862"
