"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BPMF","0","0.5135525910130955","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","1","0.5135525910130955","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","2","0.6021937915964948","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","3","0.4688072309384954","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","4","0.6953534953651154","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","5","0.3535533905932738","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","6","0.6454972243679028","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","7","0.45643546458763845","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","8","0.5345224838248488","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","9","0.511766315719159","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","0","0.3872983346207417","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","1","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","2","0.724568837309472","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","3","0.5477225575051662","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","4","0.3872983346207417","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","6","0.6236095644623235","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","7","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","8","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","9","0.7071067811865476","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","0","0.6206896551724138","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","1","0.6024752331287779","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","2","0.5768261199493113","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","3","0.6017216678143155","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","4","0.593478515844064","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","5","0.5085476277156078","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","6","0.7736421443326913","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","7","0.5379673475175552","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","8","0.5636789779189776","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","9","0.4913036844405175","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","0","0.7521398046336105","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","1","0.7406560798180412","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","2","0.6324555320336759","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","3","0.7406560798180412","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","4","0.6047431568147635","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","5","0.427617987059879","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","6","0.7634508123364221","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","7","0.7634508123364221","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","8","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","9","0.6751906048969998","1.0","0.0"
