"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","150","0.2","0.5","BPMF","0","0.33149677206589795","0.5908776779543884","1.0"
"Drosophila melanogaster","150","0.2","0.5","BPMF","1","0.4688072309384954","0.65860400829302","0.9258200997725514"
"Drosophila melanogaster","150","0.2","0.5","BPMF","7","0.47871355387816905","0.6123013130615066","0.8451542547285166"
"Drosophila melanogaster","150","0.2","0.5","BPMF","5","0.45643546458763845","0.7118175535590877","0.8451542547285166"
"Drosophila melanogaster","150","0.2","0.5","BPMF","6","0.60380736442456","0.6641326883206634","0.9258200997725514"
"Drosophila melanogaster","150","0.2","0.5","BPMF","8","0.6172133998483676","0.6620594333102972","0.8451542547285166"
"Drosophila melanogaster","150","0.2","0.5","BPMF","4","0.5135525910130955","0.7263303386316516","0.9258200997725514"
"Drosophila melanogaster","150","0.2","0.5","BPMF","3","0.5741692517632145","0.5812024879060125","1.0"
"Drosophila melanogaster","150","0.2","0.5","BPMF","9","0.511766315719159","0.7152729785763648","0.8827348295047495"
"Drosophila melanogaster","150","0.2","0.5","BPMF","2","0.5447047794019222","0.6143745680718729","0.9258200997725514"
"Mus musculus","200","0.2","0.9","BPMF","7","0.8660254037844386","0.5744366457332841","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","1","0.724568837309472","0.5940155153306244","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","0","0.4472135954999579","0.4975988178795715","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","9","0.7071067811865476","0.5064647210934614","1.0"
"Mus musculus","200","0.2","0.9","BPMF","8","0.408248290463863","0.5707425193941633","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","6","0.0","0.5748060583671961","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","3","0.5477225575051662","0.5762837089028445","0.8100925873009825"
"Mus musculus","200","0.2","0.9","BPMF","4","0.3872983346207417","0.6424085703731067","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","2","0.6324555320336759","0.6309567787218323","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","5","0.0","0.6328038418913927","0.9354143466934853"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","0","0.6216467716317223","0.7878787878787878","0.8513824469684098"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","8","0.6508804192761096","0.8614718614718615","0.8213137116947162"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","6","0.6513532710778709","0.5959595959595959","0.6749972605686247"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","4","0.6451791670811047","0.822029822029822","0.8213137116947162"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","1","0.6144065940360002","0.6868686868686869","0.7994080650317895"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","7","0.6017216678143155","0.7162097162097162","0.8298249619381314"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","2","0.6390214842634575","0.7546897546897547","0.8452792683013812"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","9","0.5658595623783126","0.8335738335738335","0.8634593969478327"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","5","0.41670771554777375","0.7186147186147186","0.7825765365144539"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","3","0.5642249141030385","0.7412217412217412","0.8338262841799539"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","2","0.43424811867344754","0.6494614003590664","0.762000762001143"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","9","0.7540739028638984","0.5816876122082585","1.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","7","0.7521398046336105","0.5767504488330341","0.7745966692414834"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","1","0.8684962373468951","0.5089766606822262","0.7745966692414834"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","0","0.7745966692414834","0.6584380610412927","0.762000762001143"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","4","0.6233549779791837","0.5951526032315978","0.7745966692414834"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","3","0.728991475552747","0.5956014362657092","0.762000762001143"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","6","0.6141195788629908","0.6261220825852782","0.8798826901281198"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","8","0.0","0.5991921005385996","0.6324555320336759"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","5","0.4407785320154718","0.7459605026929982","0.7745966692414834"
