"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","0","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","1","0.7262730392025629","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","2","0.7559289460184544","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","3","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","4","0.6953534953651154","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","5","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","6","0.5303300858899106","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","7","0.5303300858899106","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","8","0.5345224838248488","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","9","0.5345224838248488","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","0","0.3872983346207417","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","1","0.724568837309472","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","2","0.5","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","3","0.724568837309472","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","4","0.7745966692414834","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","5","0.3333333333333333","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","6","0.5270462766947299","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","7","0.5773502691896257","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","8","0.6454972243679028","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","9","0.816496580927726","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","0","0.6474132191558134","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","1","0.6394946583262664","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","2","0.5715581911583612","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","3","0.6326502235980946","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","4","0.6017216678143155","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","5","0.4962916669854652","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","6","0.7736421443326913","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","7","0.5761046360897801","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","8","0.6068167771125167","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","9","0.5157614295551275","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","0","0.7521398046336105","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","1","0.855235974119758","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","2","0.6141195788629908","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","3","0.6047431568147635","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","4","0.7171371656006361","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","6","0.4407785320154718","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","7","0.7521398046336105","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","8","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","9","0.7540739028638984","1.0","0.0"
