"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","5","0.47871355387816905","0.6381418092909535","0.8827348295047495"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","4","0.5447047794019222","0.6528117359413202","1.0"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","2","0.628970902033151","0.6766503667481663","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","9","0.5976143046671968","0.5916870415647921","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","8","0.4364357804719847","0.6949877750611247","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","0","0.4916891718944416","0.6014669926650367","1.0"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","6","0.6123724356957945","0.6650366748166259","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","1","0.5135525910130955","0.7047677261613692","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","3","0.6953534953651154","0.6454767726161369","1.0"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","7","0.6454972243679028","0.7047677261613692","0.9258200997725514"
"Mus musculus","150","0.2","0.9","BPMFCC","9","0.5","0.581932080448401","1.0"
"Mus musculus","150","0.2","0.9","BPMFCC","6","0.7071067811865476","0.5809429607649192","1.0"
"Mus musculus","150","0.2","0.9","BPMFCC","7","0.5773502691896257","0.5868776788658094","1.0"
"Mus musculus","150","0.2","0.9","BPMFCC","5","0.7071067811865476","0.4859874711506759","1.0"
"Mus musculus","150","0.2","0.9","BPMFCC","3","0.7745966692414834","0.6185295087372239","0.9354143466934853"
"Mus musculus","150","0.2","0.9","BPMFCC","2","0.6123724356957945","0.5954500494559841","1.0"
"Mus musculus","150","0.2","0.9","BPMFCC","4","0.5477225575051662","0.5918232772832179","1.0"
"Mus musculus","150","0.2","0.9","BPMFCC","8","0.5773502691896257","0.5024727992087042","1.0"
"Mus musculus","150","0.2","0.9","BPMFCC","0","0.3535533905932738","0.5914935707220573","1.0"
"Mus musculus","150","0.2","0.9","BPMFCC","1","0.5916079783099616","0.5987471150675898","1.0"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","1","0.6572228874399877","0.7121457489878542","0.8127133311198246"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","3","0.6374981889281722","0.7315789473684211","0.8426500884694864"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","7","0.5049020780056112","0.697165991902834","0.8158924398306318"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","0","0.6965175819560053","0.6947368421052632","0.8213137116947162"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","9","0.6262917685155577","0.7137651821862349","0.8249080995972007"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","5","0.46556285125953334","0.7635627530364373","0.817251129264453"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","2","0.6299636532981161","0.7578947368421053","0.8452792683013812"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","8","0.5459208336840116","0.8036437246963563","0.8158924398306318"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","6","0.6863374631334739","0.7206477732793523","0.7653749516204769"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","4","0.6017216678143155","0.6696356275303643","0.8513824469684098"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","5","0.43424811867344754","0.5946252838758517","0.762000762001143"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","7","0.7634508123364221","0.6767600302800908","0.8944271909999159"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","6","0.7521398046336105","0.5889477668433005","0.762000762001143"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","8","0.0","0.5874337623012869","0.7745966692414834"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","1","0.7406560798180412","0.7323996971990916","0.8944271909999159"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","4","0.4140393356054125","0.5976532929598789","0.8798826901281198"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","9","0.5239368319955838","0.5779712339137018","1.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","0","0.7634508123364221","0.6131718395155186","0.7491931143441223"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","3","0.728991475552747","0.6309613928841786","0.6221710168382552"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","2","0.4407785320154718","0.67221801665405","0.8650936924831862"
