"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","CC","0","0.5741692517632146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","1","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","2","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","3","0.7262730392025629","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","4","0.7032108464077431","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","5","0.47871355387816905","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","6","0.67700320038633","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","7","0.6846531968814576","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","8","0.5345224838248488","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","9","0.4629100498862757","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","0","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","1","0.6708203932499369","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","2","0.3535533905932738","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","3","0.6708203932499369","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","4","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","6","0.408248290463863","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","7","0.7453559924999299","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","8","0.3333333333333333","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","9","0.37267799624996495","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","0","0.682723788731839","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","1","0.6144065940360002","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","2","0.5538186196949965","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","3","0.7448509620488011","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","4","0.6228410989030497","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","5","0.6447017869439093","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","6","0.7518450212381479","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","7","0.638945405748483","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","8","0.4602419582116804","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","9","0.510360637486441","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","0","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","4","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","9","0.0","1.0","0.0"
