"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","150","0.2","0.7","CC","0","0.5135525910130955","0.544973544973545","0.8827348295047495"
"Drosophila melanogaster","150","0.2","0.7","CC","1","0.3476767476825577","0.5555555555555556","0.7895420339517227"
"Drosophila melanogaster","150","0.2","0.7","CC","6","0.47871355387816905","0.6137566137566137","0.7895420339517227"
"Drosophila melanogaster","150","0.2","0.7","CC","5","0.3227486121839514","0.5661375661375662","0.8827348295047495"
"Drosophila melanogaster","150","0.2","0.7","CC","8","0.32732683535398854","0.6455026455026455","0.8528028654224418"
"Drosophila melanogaster","150","0.2","0.7","CC","3","0.5447047794019222","0.5978835978835979","0.8451542547285166"
"Drosophila melanogaster","150","0.2","0.7","CC","4","0.6021937915964948","0.5925925925925926","0.9258200997725514"
"Drosophila melanogaster","150","0.2","0.7","CC","2","0.6021937915964948","0.5608465608465608","0.8827348295047495"
"Drosophila melanogaster","150","0.2","0.7","CC","9","0.32732683535398854","0.6137566137566137","0.7977240352174656"
"Drosophila melanogaster","150","0.2","0.7","CC","7","0.5","0.6031746031746031","0.9045340337332909"
"Mus musculus","200","0.2","0.7","CC","4","0.7745966692414834","0.5705521472392638","1.0"
"Mus musculus","200","0.2","0.7","CC","5","0.0","0.5705521472392638","1.0"
"Mus musculus","200","0.2","0.7","CC","8","0.28867513459481287","0.549079754601227","1.0"
"Mus musculus","200","0.2","0.7","CC","0","0.0","0.5797546012269938","1.0"
"Mus musculus","200","0.2","0.7","CC","3","0.6123724356957945","0.5552147239263804","1.0"
"Mus musculus","200","0.2","0.7","CC","7","0.5773502691896257","0.6380368098159509","1.0"
"Mus musculus","200","0.2","0.7","CC","6","0.7637626158259734","0.6441717791411042","1.0"
"Mus musculus","200","0.2","0.7","CC","9","0.4714045207910317","0.6503067484662577","0.9354143466934853"
"Mus musculus","200","0.2","0.7","CC","2","0.31622776601683794","0.5644171779141104","1.0"
"Mus musculus","200","0.2","0.7","CC","1","0.7745966692414834","0.5460122699386503","1.0"
"Caenorhabditis elegans","150","0.2","0.5","CC","2","0.5521776720297582","0.6547314578005116","0.8040209600141104"
"Caenorhabditis elegans","150","0.2","0.5","CC","1","0.5903027615319382","0.8158567774936062","0.7882269819968922"
"Caenorhabditis elegans","150","0.2","0.5","CC","9","0.3099340466946034","0.6879795396419437","0.7682686290553146"
"Caenorhabditis elegans","150","0.2","0.5","CC","8","0.4203857013874693","0.6675191815856778","0.8338262841799539"
"Caenorhabditis elegans","150","0.2","0.5","CC","5","0.6297235299224025","0.680306905370844","0.8461538461538461"
"Caenorhabditis elegans","150","0.2","0.5","CC","4","0.6228410989030497","0.8107416879795396","0.8364831988819825"
"Caenorhabditis elegans","150","0.2","0.5","CC","6","0.6930335969507272","0.7391304347826086","0.75955452531275"
"Caenorhabditis elegans","150","0.2","0.5","CC","7","0.5991578654939375","0.80306905370844","0.8127133311198246"
"Caenorhabditis elegans","150","0.2","0.5","CC","0","0.6805432536548466","0.8312020460358056","0.7882269819968922"
"Caenorhabditis elegans","150","0.2","0.5","CC","3","0.5766388083288672","0.8235294117647058","0.7929049280033963"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","3","0.0","0.4420289855072464","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","6","0.0","0.7971014492753623","0.4399413450640599"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","4","0.0","0.7608695652173914","0.4399413450640599"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","5","0.0","0.7946859903381642","0.4399413450640599"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","1","0.0","0.8067632850241546","0.4250237185032414"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","2","0.0","0.7922705314009661","0.6324555320336759"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","7","0.0","0.7681159420289855","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","9","0.0","0.7681159420289855","0.5"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","8","0.0","0.748792270531401","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","0","0.0","0.4444444444444444","0.0"
