"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","MF","0","0.36313651960128146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","1","0.7032108464077431","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","2","0.5741692517632145","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","4","0.5929994533288809","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","5","0.338501600193165","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","6","0.5303300858899106","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","7","0.3818813079129867","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","8","0.32732683535398854","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","9","0.28867513459481287","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","0","0.3535533905932738","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","1","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","2","0.3872983346207417","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","3","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","4","0.6708203932499369","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","6","0.5773502691896257","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","7","0.6236095644623235","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","8","0.44095855184409843","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","9","0.6666666666666666","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","0","0.6578891044254798","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","1","0.45085118127692886","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","2","0.5040669445356467","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","3","0.6228410989030497","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","4","0.6326502235980946","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","5","0.4305169306615094","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","6","0.665845142427713","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","7","0.45957251500902896","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","8","0.5570860145311556","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","9","0.4254814716983816","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","0","0.6324555320336759","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","1","0.6141195788629908","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","2","0.4407785320154718","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","3","0.5451081150953975","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","4","0.6141195788629908","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","5","0.427617987059879","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","6","0.6233549779791837","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","7","0.6233549779791837","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","8","0.6233549779791837","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","9","0.6859943405700354","1.0","0.0"
