"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","MF","2","0.3779644730092272","0.5721784776902887","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.9","MF","8","0.4879500364742666","0.6062992125984252","0.7895420339517227"
"Drosophila melanogaster","200","0.2","0.9","MF","9","0.0","0.6115485564304461","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.9","MF","5","0.3227486121839514","0.6902887139107612","0.9045340337332909"
"Drosophila melanogaster","200","0.2","0.9","MF","3","0.6629935441317959","0.6141732283464567","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.9","MF","7","0.22821773229381923","0.6115485564304461","1.0"
"Drosophila melanogaster","200","0.2","0.9","MF","0","0.4916891718944416","0.6771653543307087","0.8827348295047495"
"Drosophila melanogaster","200","0.2","0.9","MF","6","0.6846531968814576","0.7585301837270341","1.0"
"Drosophila melanogaster","200","0.2","0.9","MF","4","0.554700196225229","0.44881889763779526","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.9","MF","1","0.6629935441317959","0.6010498687664042","1.0"
"Mus musculus","200","0.2","0.9","MF","1","0.5916079783099616","0.640074211502783","1.0"
"Mus musculus","200","0.2","0.9","MF","3","0.5916079783099616","0.6883116883116883","1.0"
"Mus musculus","200","0.2","0.9","MF","9","0.6236095644623235","0.4619666048237477","1.0"
"Mus musculus","200","0.2","0.9","MF","8","0.37267799624996495","0.5547309833024119","1.0"
"Mus musculus","200","0.2","0.9","MF","0","0.4472135954999579","0.5695732838589982","1.0"
"Mus musculus","200","0.2","0.9","MF","4","0.6708203932499369","0.5584415584415584","1.0"
"Mus musculus","200","0.2","0.9","MF","7","0.6236095644623235","0.5899814471243042","1.0"
"Mus musculus","200","0.2","0.9","MF","2","0.0","0.5732838589981447","1.0"
"Mus musculus","200","0.2","0.9","MF","6","0.6666666666666666","0.5732838589981447","1.0"
"Mus musculus","200","0.2","0.9","MF","5","0.3333333333333333","0.45454545454545453","1.0"
"Caenorhabditis elegans","200","0.2","0.5","MF","6","0.6996656485096532","0.6857142857142857","0.682624590357648"
"Caenorhabditis elegans","200","0.2","0.5","MF","0","0.5775218698084216","0.7728571428571429","0.7768849952586214"
"Caenorhabditis elegans","200","0.2","0.5","MF","4","0.6863374631334739","0.7557142857142857","0.8513824469684098"
"Caenorhabditis elegans","200","0.2","0.5","MF","9","0.44941121854016247","0.7742857142857142","0.8513824469684098"
"Caenorhabditis elegans","200","0.2","0.5","MF","8","0.5761046360897801","0.8071428571428572","0.7091957274840682"
"Caenorhabditis elegans","200","0.2","0.5","MF","1","0.6530675904352865","0.7842857142857143","0.7692307692307693"
"Caenorhabditis elegans","200","0.2","0.5","MF","2","0.4724727399735871","0.8614285714285714","0.8360409661263138"
"Caenorhabditis elegans","200","0.2","0.5","MF","5","0.45957251500902896","0.81","0.7929049280033963"
"Caenorhabditis elegans","200","0.2","0.5","MF","7","0.4913036844405175","0.7485714285714286","0.795233581851359"
"Caenorhabditis elegans","200","0.2","0.5","MF","3","0.6518257798604167","0.7871428571428571","0.7975554366664508"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","1","0.4407785320154718","0.5841346153846154","0.762000762001143"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","2","0.427617987059879","0.6622596153846154","0.7869910029407435"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","5","0.0","0.6105769230769231","0.7491931143441223"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","6","0.6141195788629908","0.6862980769230769","0.8980265101338745"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","9","0.5601120336112039","0.5985576923076923","0.8244316223920575"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","7","0.7521398046336105","0.6694711538461539","0.6324555320336759"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","4","0.6141195788629908","0.6225961538461539","0.762000762001143"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","3","0.5554920598635309","0.7175480769230769","0.8347300123683029"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","0","0.6141195788629908","0.7920673076923077","0.7361626748694664"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","8","0.4407785320154718","0.7247596153846154","0.762000762001143"
