"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","MFCC","0","0.6629935441317959","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","1","0.7032108464077431","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","2","0.7032108464077431","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","3","0.5135525910130955","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","4","0.5135525910130955","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","5","0.45643546458763845","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","6","0.75","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","7","0.6123724356957945","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","8","0.28867513459481287","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","9","0.408248290463863","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","0","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","1","0.724568837309472","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","2","0.5477225575051662","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","3","0.724568837309472","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","4","0.5477225575051662","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","5","0.5270462766947299","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","6","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","7","0.5270462766947299","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","8","0.408248290463863","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","9","0.7637626158259734","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","0","0.6668648139935763","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","1","0.6309232329149251","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","2","0.5948966266253625","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","3","0.6133771491452841","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","4","0.594515160329885","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","5","0.5006153848482865","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","6","0.6863374631334739","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","7","0.5379673475175552","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","8","0.5893137028731715","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","9","0.5263968047576973","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","0","0.6233549779791837","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","1","0.6233549779791837","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","2","0.42088342464732104","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","3","0.427617987059879","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","4","0.5756983337031396","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","5","0.427617987059879","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","6","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","7","0.7634508123364221","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","8","0.6233549779791837","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","9","0.6530471562110152","1.0","0.0"
