"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","MFCC","5","0.3818813079129867","0.6526315789473685","1.0"
"Drosophila melanogaster","200","0.2","0.9","MFCC","4","0.7774288420142415","0.6157894736842106","1.0"
"Drosophila melanogaster","200","0.2","0.9","MFCC","3","0.39223227027636803","0.6263157894736842","1.0"
"Drosophila melanogaster","200","0.2","0.9","MFCC","1","0.6021937915964948","0.6280701754385964","1.0"
"Drosophila melanogaster","200","0.2","0.9","MFCC","2","0.5741692517632145","0.6543859649122807","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.9","MFCC","9","0.4879500364742666","0.6701754385964912","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.9","MFCC","8","0.408248290463863","0.6578947368421053","1.0"
"Drosophila melanogaster","200","0.2","0.9","MFCC","7","0.6454972243679028","0.5701754385964912","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.9","MFCC","0","0.628970902033151","0.6157894736842106","0.8528028654224418"
"Drosophila melanogaster","200","0.2","0.9","MFCC","6","0.6846531968814576","0.6649122807017543","0.8451542547285166"
"Mus musculus","200","0.4","0.7","MFCC","1","0.724568837309472","0.7040462427745665","1.0"
"Mus musculus","200","0.4","0.7","MFCC","0","0.5916079783099616","0.669364161849711","0.9354143466934853"
"Mus musculus","200","0.4","0.7","MFCC","6","0.28867513459481287","0.4959537572254335","1.0"
"Mus musculus","200","0.4","0.7","MFCC","5","0.37267799624996495","0.47167630057803467","1.0"
"Mus musculus","200","0.4","0.7","MFCC","9","0.3333333333333333","0.4913294797687861","1.0"
"Mus musculus","200","0.4","0.7","MFCC","4","0.5916079783099616","0.6520231213872832","1.0"
"Mus musculus","200","0.4","0.7","MFCC","3","0.6708203932499369","0.6647398843930635","1.0"
"Mus musculus","200","0.4","0.7","MFCC","2","0.3872983346207417","0.49017341040462425","1.0"
"Mus musculus","200","0.4","0.7","MFCC","7","0.408248290463863","0.715606936416185","1.0"
"Mus musculus","200","0.4","0.7","MFCC","8","0.408248290463863","0.6624277456647398","1.0"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","5","0.5269813655205574","0.7873510540788268","0.8837788686981582"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","3","0.5701957143905587","0.7433547204399633","0.8557152100494996"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","7","0.5492942180025514","0.8166819431714024","0.8360409661263138"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","6","0.7088462838917843","0.7076076993583869","0.7975554366664508"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","8","0.6198680933892069","0.6590284142988084","0.7682686290553146"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","0","0.6744002488140671","0.7846012832263978","0.8127133311198246"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","2","0.6024752331287779","0.6975252062328139","0.8249080995972007"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","4","0.6302122560572184","0.7809349220898258","0.8941790721202054"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","1","0.5651718656741029","0.8111824014665444","0.795233581851359"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","9","0.536821515870478","0.7296058661778185","0.8513824469684098"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","8","0.43424811867344754","0.5842696629213483","0.7745966692414834"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","1","0.595219047314276","0.7134831460674157","0.8944271909999159"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","5","0.427617987059879","0.7463884430176565","0.7745966692414834"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","0","0.0","0.5987158908507223","0.7491931143441223"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","9","0.0","0.5834670947030498","1.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","7","0.0","0.5898876404494382","0.7745966692414834"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","6","0.43424811867344754","0.6356340288924559","0.762000762001143"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","4","0.6141195788629908","0.6942215088282504","0.8944271909999159"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","2","0.0","0.7632423756019262","0.762000762001143"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","3","0.6047431568147635","0.7993579454253612","0.7745966692414834"
