"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","0","43.85","100.0","0.5234082397003745"
"fly","100","0.2","0.5","1","65.03999999999999","87.4","0.5299625468164794"
"fly","100","0.2","0.5","2","29.65","95.35","0.5814606741573034"
"fly","100","0.2","0.5","3","59.3","88.27000000000001","0.5674157303370787"
"fly","100","0.2","0.5","4","51.35999999999999","92.58","0.5823970037453183"
"fly","100","0.2","0.5","5","72.17","88.27000000000001","0.5627340823970037"
"fly","100","0.2","0.5","6","72.17","95.35","0.5758426966292135"
"fly","100","0.2","0.5","7","68.47","92.58","0.5440074906367042"
"fly","100","0.2","0.5","8","30.620000000000005","90.45","0.5599250936329588"
"fly","100","0.2","0.5","9","75.69","91.29","0.598314606741573"
"mouse","100","0.2","0.9","0","64.55","77.46","0.5455840455840456"
"mouse","100","0.2","0.9","1","61.24000000000001","70.71","0.5223171889838556"
"mouse","100","0.2","0.9","2","66.67","100.0","0.5531813865147198"
"mouse","100","0.2","0.9","3","73.85000000000001","58.550000000000004","0.5569800569800569"
"mouse","100","0.2","0.9","4","55.900000000000006","58.550000000000004","0.5470085470085471"
"mouse","100","0.2","0.9","5","47.14","93.54","0.5294396961063628"
"mouse","100","0.2","0.9","6","54.769999999999996","93.54","0.5489078822412156"
"mouse","100","0.2","0.9","7","37.269999999999996","75.59","0.52659069325736"
"mouse","100","0.2","0.9","8","43.64","100.0","0.563627730294397"
"mouse","100","0.2","0.9","9","53.449999999999996","82.80999999999999","0.5422602089268755"
"worm","100","0.2","0.9","0","58.660000000000004","75.89","0.5493653032440057"
"worm","100","0.2","0.9","1","50.29","76.28","0.5338504936530324"
"worm","100","0.2","0.9","2","58.8","74.72999999999999","0.5345557122708039"
"worm","100","0.2","0.9","3","59.9","75.51","0.5331452750352609"
"worm","100","0.2","0.9","4","52.35999999999999","77.03","0.5176304654442877"
"worm","100","0.2","0.9","5","54.800000000000004","76.75","0.5409026798307476"
"worm","100","0.2","0.9","6","62.28","71.61","0.5232722143864598"
"worm","100","0.2","0.9","7","49.01","80.86","0.535966149506347"
"worm","100","0.2","0.9","8","62.43","74.15","0.5112834978843441"
"worm","100","0.2","0.9","9","63.980000000000004","78.58000000000001","0.5458392101551481"
"yeast","100","0.2","0.5","0","62.150000000000006","97.39999999999999","0.5455140798952194"
"yeast","100","0.2","0.5","1","34.93","74.38","0.5127701375245579"
"yeast","100","0.2","0.5","2","56.31","70.71","0.5343811394891945"
"yeast","100","0.2","0.5","3","0.0","87.09","0.5297969875573019"
"yeast","100","0.2","0.5","4","37.57","86.6","0.5487884741322855"
"yeast","100","0.2","0.5","5","56.07","77.46","0.5592665356908972"
"yeast","100","0.2","0.5","6","57.74","84.05","0.5317616240995415"
"yeast","100","0.2","0.5","7","0.0","76.44999999999999","0.5337262606417813"
"yeast","100","0.2","0.5","8","68.60000000000001","76.96","0.5448592010478062"
"yeast","100","0.2","0.5","9","0.0","98.03","0.5127701375245579"
