"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BP","0","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","1","0.3779644730092272","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","2","0.3476767476825577","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","4","0.4916891718944416","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","5","0.3535533905932738","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","6","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","7","0.7071067811865476","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","8","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","9","0.4879500364742666","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","0","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","1","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","2","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","3","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","4","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","6","0.44095855184409843","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","7","0.4714045207910317","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","8","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","9","0.4714045207910317","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","0","0.5020765440883116","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","1","0.5016608833298435","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","2","0.48697493323777546","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","3","0.36469840431289846","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","4","0.4383129322766843","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","5","0.4962916669854651","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","6","0.5872202195147035","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","7","0.3844258722192448","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","8","0.4340779254007246","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","9","0.454858826147342","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","0","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","4","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","9","0.0","1.0","0.0"
