"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","BP","8","0.3779644730092272","0.5853658536585366","0.6241877839323592"
"Drosophila melanogaster","200","0.2","0.9","BP","2","0.36313651960128146","0.48686679174484054","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.9","BP","9","0.4879500364742666","0.46622889305816134","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","BP","4","0.5741692517632145","0.47373358348968103","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.9","BP","3","0.0","0.698874296435272","0.8827348295047495"
"Drosophila melanogaster","200","0.2","0.9","BP","1","0.36313651960128146","0.5675422138836773","0.6837634587578277"
"Drosophila melanogaster","200","0.2","0.9","BP","5","0.5","0.5703564727954972","0.5345224838248488"
"Drosophila melanogaster","200","0.2","0.9","BP","7","0.5863019699779287","0.599437148217636","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.9","BP","6","0.5","0.5853658536585366","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.9","BP","0","0.5345224838248488","0.5656660412757973","0.8058229640253803"
"Mus musculus","200","0.4","0.9","BP","0","0.4472135954999579","0.48800738007380073","0.7071067811865476"
"Mus musculus","200","0.4","0.9","BP","4","0.4183300132670378","0.4709409594095941","0.5"
"Mus musculus","200","0.4","0.9","BP","2","0.4472135954999579","0.474169741697417","0.7071067811865476"
"Mus musculus","200","0.4","0.9","BP","1","0.4472135954999579","0.6789667896678967","0.5"
"Mus musculus","200","0.4","0.9","BP","3","0.0","0.4755535055350554","0.5"
"Mus musculus","200","0.4","0.9","BP","9","0.0","0.46863468634686345","0.8660254037844386"
"Mus musculus","200","0.4","0.9","BP","8","0.7071067811865476","0.47739852398523985","0.6614378277661477"
"Mus musculus","200","0.4","0.9","BP","7","0.0","0.47924354243542433","0.6614378277661477"
"Mus musculus","200","0.4","0.9","BP","6","0.44095855184409843","0.4755535055350554","0.5"
"Mus musculus","200","0.4","0.9","BP","5","0.0","0.47232472324723246","0.7071067811865476"
"Caenorhabditis elegans","100","0.2","0.5","BP","0","0.4348110418247756","0.6635242929659173","0.6864064729836441"
"Caenorhabditis elegans","100","0.2","0.5","BP","9","0.4868972843601013","0.59680928208847","0.6728021417129193"
"Caenorhabditis elegans","100","0.2","0.5","BP","2","0.6024752331287779","0.6163886874546773","0.6249260311258431"
"Caenorhabditis elegans","100","0.2","0.5","BP","3","0.36805975098557914","0.7454677302393038","0.7065835796489937"
"Caenorhabditis elegans","100","0.2","0.5","BP","7","0.40012313375695696","0.6236403190717912","0.6527139518645054"
"Caenorhabditis elegans","100","0.2","0.5","BP","5","0.4913036844405175","0.5794053662073967","0.6661733875264914"
"Caenorhabditis elegans","100","0.2","0.5","BP","8","0.5263968047576973","0.6620739666424945","0.6728021417129193"
"Caenorhabditis elegans","100","0.2","0.5","BP","4","0.5012300141587652","0.6997824510514866","0.7221147444430225"
"Caenorhabditis elegans","100","0.2","0.5","BP","1","0.4344510690485859","0.696881798404641","0.7195494974565272"
"Caenorhabditis elegans","100","0.2","0.5","BP","6","0.5252257314388902","0.7251631617113851","0.6020183016345588"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","7","0.0","0.504297994269341","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","8","0.0","0.45988538681948427","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","1","0.0","0.4835243553008596","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","6","0.0","0.4577363896848137","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","3","0.0","0.4677650429799427","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","5","0.0","0.46418338108882523","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","0","0.4472135954999579","0.47206303724928367","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","2","0.0","0.4677650429799427","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","4","0.0","0.4663323782234957","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","9","0.0","0.4648997134670487","0.0"
