"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BPCC","0","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","1","0.36313651960128146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","2","0.4916891718944416","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","4","0.4688072309384954","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","5","0.3535533905932738","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","6","0.3535533905932738","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","7","0.7569125885243729","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","8","0.5345224838248488","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","9","0.511766315719159","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","0","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","1","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","2","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","3","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","4","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","6","0.4714045207910317","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","7","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","8","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","9","0.4714045207910317","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","0","0.5775218698084216","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","1","0.5715581911583612","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","2","0.6309232329149251","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","3","0.41150331149270003","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","4","0.5012300141587652","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","5","0.5436602822195624","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","6","0.6158817620514397","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","7","0.5157614295551275","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","8","0.5492942180025514","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","9","0.4688577462374878","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","0","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","4","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","9","0.0","1.0","0.0"
