"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","BPCC","7","0.7905694150420949","0.6812749003984063","0.7207499701564472"
"Drosophila melanogaster","200","0.2","0.9","BPCC","5","0.3535533905932738","0.49083665338645416","0.5096471914376255"
"Drosophila melanogaster","200","0.2","0.9","BPCC","8","0.5669467095138409","0.4788844621513944","0.5345224838248488"
"Drosophila melanogaster","200","0.2","0.9","BPCC","3","0.0","0.6175298804780877","0.8827348295047495"
"Drosophila melanogaster","200","0.2","0.9","BPCC","9","0.4879500364742666","0.4796812749003984","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","BPCC","2","0.5135525910130955","0.5051792828685259","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.9","BPCC","4","0.5447047794019222","0.4693227091633466","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.9","BPCC","0","0.3779644730092272","0.5808764940239044","0.7644707871564383"
"Drosophila melanogaster","200","0.2","0.9","BPCC","1","0.3779644730092272","0.6430278884462152","0.7207499701564472"
"Drosophila melanogaster","200","0.2","0.9","BPCC","6","0.0","0.6525896414342629","0.7207499701564472"
"Mus musculus","100","0.2","0.9","BPCC","4","0.5916079783099616","0.4747393744987971","0.5"
"Mus musculus","100","0.2","0.9","BPCC","3","0.0","0.47674418604651164","0.5"
"Mus musculus","100","0.2","0.9","BPCC","5","0.0","0.4723336006415397","0.7071067811865476"
"Mus musculus","100","0.2","0.9","BPCC","7","0.0","0.4787489975942261","0.6614378277661477"
"Mus musculus","100","0.2","0.9","BPCC","2","0.4183300132670378","0.47794707297514033","0.7071067811865476"
"Mus musculus","100","0.2","0.9","BPCC","6","0.44095855184409843","0.47955092221331197","0.5"
"Mus musculus","100","0.2","0.9","BPCC","8","0.7071067811865476","0.483560545308741","0.6614378277661477"
"Mus musculus","100","0.2","0.9","BPCC","0","0.4472135954999579","0.4843624699278268","0.7071067811865476"
"Mus musculus","100","0.2","0.9","BPCC","1","0.4472135954999579","0.4787489975942261","0.46770717334674267"
"Mus musculus","100","0.2","0.9","BPCC","9","0.0","0.48075380914194066","0.8660254037844386"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","6","0.5766388083288672","0.6","0.6319875663521147"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","3","0.48245064067700766","0.632768361581921","0.7297563831157798"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","4","0.45957251500902896","0.6531073446327683","0.7910370692770435"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","8","0.5012300141587652","0.7107344632768362","0.7595545253127499"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","9","0.5061201788784757","0.6276836158192091","0.7536891516255932"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","5","0.510360637486441","0.6937853107344633","0.7768849952586213"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","2","0.5444545270290438","0.6463276836158192","0.7457969011409737"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","0","0.566084660668345","0.6220338983050847","0.7297563831157798"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","1","0.5715581911583612","0.6937853107344633","0.7768849952586214"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","7","0.5157614295551275","0.592090395480226","0.7457969011409737"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","0","0.4472135954999579","0.45966850828729283","0.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","2","0.0","0.4574585635359116","0.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","5","0.0","0.4712707182320442","0.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","9","0.0","0.5640883977900553","0.5"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","8","0.0","0.5734806629834254","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","7","0.0","0.46187845303867403","0.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","3","0.0","0.44972375690607735","0.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","6","0.0","0.4707182320441989","0.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","4","0.4472135954999579","0.49558011049723755","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","1","0.0","0.5121546961325967","0.4472135954999579"
