"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BPMF","0","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","1","0.3779644730092272","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","2","0.4916891718944416","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","4","0.5741692517632145","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","5","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","6","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","7","0.67700320038633","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","8","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","9","0.36187343222787294","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","0","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","1","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","2","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","3","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","4","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","6","0.44095855184409843","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","7","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","8","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","9","0.4714045207910317","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","0","0.5775218698084216","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","1","0.4968138046017152","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","2","0.5165149163404459","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","3","0.3509312031717982","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","4","0.48626453908386463","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","5","0.48626453908386463","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","6","0.5819535640744168","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","7","0.38840966641616587","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","8","0.4962916669854651","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","9","0.4298011912959396","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","0","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","4","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","9","0.0","1.0","0.0"
