"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","150","0.2","0.5","BPMF","8","0.4364357804719847","0.46855563234277814","0.5345224838248488"
"Drosophila melanogaster","150","0.2","0.5","BPMF","7","0.7071067811865476","0.5922598479612993","0.6546536707079771"
"Drosophila melanogaster","150","0.2","0.5","BPMF","9","0.36187343222787294","0.469937802349689","0.7559289460184544"
"Drosophila melanogaster","150","0.2","0.5","BPMF","0","0.628970902033151","0.4809951624049758","0.7207499701564472"
"Drosophila melanogaster","150","0.2","0.5","BPMF","1","0.5345224838248488","0.5749827228749136","0.6546536707079771"
"Drosophila melanogaster","150","0.2","0.5","BPMF","4","0.4688072309384954","0.49550794747753973","0.6546536707079771"
"Drosophila melanogaster","150","0.2","0.5","BPMF","2","0.5135525910130955","0.4934346924671735","0.8827348295047495"
"Drosophila melanogaster","150","0.2","0.5","BPMF","6","0.3535533905932738","0.5957152729785764","0.6241877839323592"
"Drosophila melanogaster","150","0.2","0.5","BPMF","3","0.0","0.5791292328956462","0.7559289460184544"
"Drosophila melanogaster","150","0.2","0.5","BPMF","5","0.3535533905932738","0.4851416724257084","0.5345224838248488"
"Mus musculus","200","0.2","0.9","BPMF","9","0.4714045207910317","0.47284817140746216","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","4","0.5916079783099616","0.47100110823790176","0.5"
"Mus musculus","200","0.2","0.9","BPMF","0","0.4472135954999579","0.48762467676394533","0.7071067811865476"
"Mus musculus","200","0.2","0.9","BPMF","3","0.0","0.5655707425193942","0.7071067811865476"
"Mus musculus","200","0.2","0.9","BPMF","7","0.0","0.4658293313631326","0.6614378277661477"
"Mus musculus","200","0.2","0.9","BPMF","8","0.6236095644623235","0.47986701145179167","0.6614378277661477"
"Mus musculus","200","0.2","0.9","BPMF","2","0.4183300132670378","0.4754340598448467","0.7071067811865476"
"Mus musculus","200","0.2","0.9","BPMF","5","0.0","0.476911710380495","0.7071067811865476"
"Mus musculus","200","0.2","0.9","BPMF","6","0.44095855184409843","0.49649057997783524","0.7071067811865476"
"Mus musculus","200","0.2","0.9","BPMF","1","0.6324555320336759","0.588104913188031","0.6614378277661477"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","4","0.41670771554777375","0.5805675805675806","0.7457969011409737"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","3","0.40395215050978234","0.5974025974025974","0.6986885432532672"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","0","0.6149156724181727","0.6527176527176527","0.7143913700387196"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","6","0.5819535640744168","0.7012987012987013","0.5593476758557303"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","2","0.5058639803407341","0.6455026455026455","0.7065835796489937"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","7","0.4298011912959396","0.6031746031746031","0.7065835796489937"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","5","0.5012300141587652","0.734006734006734","0.6976291210468097"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","9","0.4760262442572624","0.6127946127946128","0.7267093702958147"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","8","0.46423834544262965","0.6714766714766714","0.6933752452815364"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","1","0.4781998913803227","0.7234247234247234","0.7373188274108006"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","7","0.0","0.4762118491921005","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","9","0.0","0.4748653500897666","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","0","0.4472135954999579","0.4762118491921005","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","5","0.0","0.47710951526032314","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","4","0.0","0.47127468581687615","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","6","0.0","0.46947935368043087","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","8","0.0","0.4744165170556553","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","1","0.0","0.48922800718132853","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","3","0.0","0.4614003590664273","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","2","0.0","0.47755834829443444","0.0"
