"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","0","0.3779644730092272","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","1","0.36313651960128146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","2","0.4916891718944416","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","4","0.5741692517632145","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","5","0.3535533905932738","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","6","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","7","0.67700320038633","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","8","0.5345224838248488","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","9","0.36187343222787294","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","0","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","1","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","2","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","3","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","4","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","6","0.44095855184409843","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","7","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","8","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","9","0.4714045207910317","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","0","0.6278324640011422","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","1","0.5269506153314418","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","2","0.5388702304143923","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","3","0.3509312031717982","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","4","0.48117262348980233","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","5","0.5701957143905587","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","6","0.6374981889281722","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","7","0.41670771554777375","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","8","0.5436602822195624","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","9","0.4962916669854651","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","0","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","4","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","9","0.0","1.0","0.0"
