"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","8","0.4629100498862757","0.46515892420537897","0.5345224838248488"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","0","0.0","0.5916870415647921","0.7644707871564383"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","5","0.0","0.5953545232273839","0.5345224838248488"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","2","0.3476767476825577","0.6271393643031785","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","9","0.4879500364742666","0.4828850855745721","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","7","0.7569125885243729","0.49144254278728605","0.6241877839323592"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","4","0.6629935441317959","0.4963325183374083","0.7207499701564472"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","6","0.5","0.49816625916870416","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","1","0.36313651960128146","0.4896088019559902","0.6241877839323592"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","3","0.0","0.6460880195599022","0.7559289460184544"
"Mus musculus","150","0.2","0.9","BPMFCC","2","0.4183300132670378","0.4708209693372898","0.7071067811865476"
"Mus musculus","150","0.2","0.9","BPMFCC","4","0.5916079783099616","0.4800527530497857","0.5"
"Mus musculus","150","0.2","0.9","BPMFCC","7","0.6666666666666666","0.4797230464886251","0.6614378277661477"
"Mus musculus","150","0.2","0.9","BPMFCC","9","0.4714045207910317","0.4826904055390702","0.8660254037844386"
"Mus musculus","150","0.2","0.9","BPMFCC","0","0.4472135954999579","0.4968677876689746","0.7071067811865476"
"Mus musculus","150","0.2","0.9","BPMFCC","1","0.6324555320336759","0.6139136168809759","0.5"
"Mus musculus","150","0.2","0.9","BPMFCC","5","0.0","0.4784042202439829","0.7071067811865476"
"Mus musculus","150","0.2","0.9","BPMFCC","8","0.6236095644623235","0.481371579294428","0.6614378277661477"
"Mus musculus","150","0.2","0.9","BPMFCC","3","0.0","0.49554896142433236","0.7071067811865476"
"Mus musculus","150","0.2","0.9","BPMFCC","6","0.4714045207910317","0.4803824596109463","0.5"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","3","0.39625711909503597","0.5983805668016194","0.7065835796489937"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","0","0.5452202862359274","0.6222672064777328","0.737820234355803"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","6","0.5766388083288672","0.7121457489878542","0.6319875663521147"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","4","0.4760262442572624","0.6781376518218624","0.8076923076923077"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","9","0.4779626301941073","0.6222672064777328","0.7692307692307693"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","7","0.5761046360897801","0.6651821862348178","0.760527689741738"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","1","0.47375142361080114","0.6708502024291498","0.7768849952586214"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","5","0.5379673475175552","0.7008097165991903","0.7692307692307693"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","8","0.6138788892284813","0.6502024291497975","0.7448044896552725"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","2","0.5332274547051199","0.6","0.7653749516204769"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","0","0.4472135954999579","0.47766843300529904","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","9","0.0","0.4784254352763058","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","2","0.0","0.4666919000757002","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","7","0.0","0.47350492051476156","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","5","0.0","0.4738834216502649","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","4","0.0","0.4772899318697956","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","3","0.0","0.46744890234670705","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","8","0.0","0.47918243754731266","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","6","0.0","0.47918243754731266","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","1","0.0","0.5124905374716124","0.4472135954999579"
