"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","CC","0","0.36313651960128146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","1","0.5135525910130955","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","2","0.6953534953651154","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","3","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","4","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","5","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","6","0.3535533905932738","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","7","0.6454972243679028","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","8","0.4879500364742666","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","9","0.4879500364742666","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","0","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","1","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","2","0.3872983346207417","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","3","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","4","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","6","0.7637626158259734","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","7","0.4714045207910317","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","8","0.6236095644623235","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","9","0.0","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","0","0.5602785106645489","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","1","0.5882495283143102","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","2","0.4968138046017152","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","3","0.4779626301941073","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","4","0.5263968047576973","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","5","0.41670771554777375","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","6","0.5872202195147035","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","7","0.5603921920110906","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","8","0.4962916669854651","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","9","0.5548709520230941","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","0","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","4","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","9","0.0","1.0","0.0"
