"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","150","0.2","0.7","CC","5","0.5","0.544973544973545","0.8058229640253803"
"Drosophila melanogaster","150","0.2","0.7","CC","4","0.5741692517632145","0.47619047619047616","0.8058229640253803"
"Drosophila melanogaster","150","0.2","0.7","CC","2","0.7262730392025629","0.4708994708994709","0.5345224838248488"
"Drosophila melanogaster","150","0.2","0.7","CC","8","0.3086066999241838","0.6031746031746031","0.7207499701564472"
"Drosophila melanogaster","150","0.2","0.7","CC","3","0.6546536707079771","0.5132275132275133","0.8058229640253803"
"Drosophila melanogaster","150","0.2","0.7","CC","6","0.338501600193165","0.5714285714285714","0.8058229640253803"
"Drosophila melanogaster","150","0.2","0.7","CC","7","0.5863019699779287","0.6137566137566137","0.8058229640253803"
"Drosophila melanogaster","150","0.2","0.7","CC","0","0.4447495899966607","0.5502645502645502","0.8451542547285166"
"Drosophila melanogaster","150","0.2","0.7","CC","1","0.5741692517632145","0.5291005291005291","0.7644707871564383"
"Drosophila melanogaster","150","0.2","0.7","CC","9","0.511766315719159","0.41798941798941797","0.5345224838248488"
"Mus musculus","200","0.2","0.7","CC","7","0.4714045207910317","0.5920245398773006","0.7071067811865476"
"Mus musculus","200","0.2","0.7","CC","6","0.7071067811865476","0.5368098159509203","0.6123724356957945"
"Mus musculus","200","0.2","0.7","CC","2","0.4183300132670378","0.4723926380368098","0.7071067811865476"
"Mus musculus","200","0.2","0.7","CC","0","0.4183300132670378","0.5766871165644172","0.8660254037844386"
"Mus musculus","200","0.2","0.7","CC","4","0.3872983346207417","0.5429447852760736","0.6614378277661477"
"Mus musculus","200","0.2","0.7","CC","1","0.4183300132670378","0.5061349693251533","0.6614378277661477"
"Mus musculus","200","0.2","0.7","CC","5","0.0","0.4815950920245399","0.7071067811865476"
"Mus musculus","200","0.2","0.7","CC","3","0.0","0.5184049079754601","0.7071067811865476"
"Mus musculus","200","0.2","0.7","CC","9","0.0","0.5368098159509203","0.8660254037844386"
"Mus musculus","200","0.2","0.7","CC","8","0.44095855184409843","0.5736196319018405","0.8100925873009825"
"Caenorhabditis elegans","150","0.2","0.5","CC","9","0.5157614295551275","0.5575447570332481","0.7065835796489937"
"Caenorhabditis elegans","150","0.2","0.5","CC","2","0.5815264557642937","0.5524296675191815","0.7477777728932147"
"Caenorhabditis elegans","150","0.2","0.5","CC","8","0.5205150916074701","0.5882352941176471","0.8213137116947162"
"Caenorhabditis elegans","150","0.2","0.5","CC","1","0.7162448286497105","0.6982097186700768","0.7566275220348462"
"Caenorhabditis elegans","150","0.2","0.5","CC","3","0.5701957143905587","0.5831202046035806","0.7133552688842849"
"Caenorhabditis elegans","150","0.2","0.5","CC","6","0.5298944964234875","0.5907928388746803","0.7195494974565272"
"Caenorhabditis elegans","150","0.2","0.5","CC","5","0.5581902495384552","0.7544757033248082","0.8298249619381314"
"Caenorhabditis elegans","150","0.2","0.5","CC","0","0.6474132191558134","0.6342710997442456","0.7522156621387672"
"Caenorhabditis elegans","150","0.2","0.5","CC","7","0.6513532710778709","0.7212276214833759","0.7522156621387671"
"Caenorhabditis elegans","150","0.2","0.5","CC","4","0.5658595623783125","0.6010230179028133","0.7929049280033963"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","3","0.0","0.4396135265700483","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","4","0.0","0.4806763285024155","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","9","0.0","0.46859903381642515","0.5"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","5","0.0","0.4178743961352657","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","7","0.0","0.45169082125603865","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","8","0.0","0.48792270531400966","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","2","0.0","0.4396135265700483","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","6","0.0","0.4227053140096618","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","1","0.0","0.4758454106280193","0.4399413450640599"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","0","0.0","0.4758454106280193","0.4472135954999579"
