"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","MF","0","0.3476767476825577","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","1","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","2","0.36313651960128146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","4","0.4447495899966607","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","5","0.3535533905932738","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","6","0.3535533905932738","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","7","0.5590169943749475","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","8","0.4879500364742666","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","9","0.3779644730092272","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","0","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","1","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","2","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","3","0.3535533905932738","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","4","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","6","0.6236095644623235","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","7","0.44095855184409843","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","8","0.44095855184409843","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","9","0.44095855184409843","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","0","0.5560177757447275","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","1","0.34783923802698247","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","2","0.43025337573588357","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","3","0.34384095303675166","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","4","0.48117262348980233","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","5","0.454858826147342","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","6","0.4913036844405175","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","7","0.35442314194589214","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","8","0.4688577462374878","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","9","0.39625711909503597","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","0","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","4","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","9","0.0","1.0","0.0"
