"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","MF","3","0.0","0.5800524934383202","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","MF","8","0.408248290463863","0.5984251968503937","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","MF","4","0.4916891718944416","0.5354330708661418","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","MF","7","0.4330127018922193","0.5485564304461942","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.9","MF","1","0.0","0.48031496062992124","0.5345224838248488"
"Drosophila melanogaster","200","0.2","0.9","MF","0","0.0","0.5590551181102362","0.7207499701564472"
"Drosophila melanogaster","200","0.2","0.9","MF","6","0.3535533905932738","0.5564304461942258","0.5345224838248488"
"Drosophila melanogaster","200","0.2","0.9","MF","5","0.3535533905932738","0.5328083989501312","0.5345224838248488"
"Drosophila melanogaster","200","0.2","0.9","MF","2","0.0","0.5538057742782152","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.9","MF","9","0.3779644730092272","0.5721784776902887","0.7559289460184544"
"Mus musculus","200","0.2","0.9","MF","1","0.6324555320336759","0.6103896103896104","0.8660254037844386"
"Mus musculus","200","0.2","0.9","MF","4","0.6324555320336759","0.5918367346938775","0.8660254037844386"
"Mus musculus","200","0.2","0.9","MF","3","0.4183300132670378","0.44712430426716143","0.7071067811865476"
"Mus musculus","200","0.2","0.9","MF","6","0.44095855184409843","0.4712430426716141","0.8660254037844386"
"Mus musculus","200","0.2","0.9","MF","2","0.3872983346207417","0.4582560296846011","0.7071067811865476"
"Mus musculus","200","0.2","0.9","MF","0","0.5916079783099616","0.4601113172541744","0.7071067811865476"
"Mus musculus","200","0.2","0.9","MF","7","0.44095855184409843","0.49165120593692024","0.8660254037844386"
"Mus musculus","200","0.2","0.9","MF","8","0.44095855184409843","0.42857142857142855","0.7071067811865476"
"Mus musculus","200","0.2","0.9","MF","5","0.5","0.44341372912801486","0.7071067811865476"
"Mus musculus","200","0.2","0.9","MF","9","0.44095855184409843","0.5640074211502782","1.0"
"Caenorhabditis elegans","200","0.2","0.5","MF","6","0.3713906763541037","0.55","0.4985185152621431"
"Caenorhabditis elegans","200","0.2","0.5","MF","3","0.37633178946714935","0.6757142857142857","0.6249260311258431"
"Caenorhabditis elegans","200","0.2","0.5","MF","0","0.4348110418247756","0.5585714285714286","0.6117682200225718"
"Caenorhabditis elegans","200","0.2","0.5","MF","4","0.48626453908386463","0.6185714285714285","0.6249260311258431"
"Caenorhabditis elegans","200","0.2","0.5","MF","2","0.5058639803407341","0.6757142857142857","0.7065835796489937"
"Caenorhabditis elegans","200","0.2","0.5","MF","8","0.4688577462374878","0.59","0.5711247078814422"
"Caenorhabditis elegans","200","0.2","0.5","MF","5","0.3923530128589653","0.7114285714285714","0.6117682200225718"
"Caenorhabditis elegans","200","0.2","0.5","MF","1","0.25083044166492174","0.7342857142857143","0.6081303192631499"
"Caenorhabditis elegans","200","0.2","0.5","MF","7","0.4254814716983816","0.6814285714285714","0.6650621717611762"
"Caenorhabditis elegans","200","0.2","0.5","MF","9","0.40012313375695696","0.7257142857142858","0.7071067811865476"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","9","0.0","0.46153846153846156","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","0","0.0","0.45913461538461536","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","5","0.0","0.45552884615384615","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","7","0.0","0.4543269230769231","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","3","0.0","0.49158653846153844","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","8","0.0","0.453125","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","1","0.0","0.5108173076923077","0.6324555320336759"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","6","0.0","0.45552884615384615","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","4","0.4472135954999579","0.47716346153846156","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","2","0.4472135954999579","0.4495192307692308","0.0"
