"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","MFCC","0","0.36313651960128146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","1","0.36313651960128146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","2","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","4","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","5","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","6","0.3535533905932738","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","7","0.5863019699779287","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","8","0.4629100498862757","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","9","0.36187343222787294","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","0","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","1","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","2","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","3","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","4","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","6","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","7","0.4714045207910317","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","8","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","9","0.0","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","0","0.6216467716317223","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","1","0.5217588570404736","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","2","0.5388702304143923","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","3","0.45009577524850386","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","4","0.5701957143905587","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","5","0.4993838568207847","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","6","0.6103580472254035","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","7","0.5157614295551275","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","8","0.4962916669854651","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","9","0.5157614295551275","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","0","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","4","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","9","0.0","1.0","0.0"
