"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","MFCC","6","0.6123724356957945","0.5403508771929825","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.9","MFCC","5","0.0","0.6210526315789474","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.9","MFCC","7","0.5863019699779287","0.5578947368421052","0.7207499701564472"
"Drosophila melanogaster","200","0.2","0.9","MFCC","8","0.4879500364742666","0.5964912280701754","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","MFCC","9","0.3779644730092272","0.512280701754386","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","MFCC","4","0.5447047794019222","0.5929824561403508","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.9","MFCC","0","0.628970902033151","0.5649122807017544","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","MFCC","3","0.0","0.5859649122807018","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.9","MFCC","1","0.36313651960128146","0.5947368421052631","0.7207499701564472"
"Drosophila melanogaster","200","0.2","0.9","MFCC","2","0.6953534953651154","0.6210526315789474","0.8827348295047495"
"Mus musculus","200","0.4","0.7","MFCC","8","0.6236095644623235","0.4658959537572254","0.7071067811865476"
"Mus musculus","200","0.4","0.7","MFCC","5","0.0","0.45664739884393063","0.7071067811865476"
"Mus musculus","200","0.4","0.7","MFCC","4","0.6324555320336759","0.45202312138728323","0.5"
"Mus musculus","200","0.4","0.7","MFCC","7","0.4714045207910317","0.4728323699421965","0.6614378277661477"
"Mus musculus","200","0.4","0.7","MFCC","0","0.5477225575051662","0.461271676300578","0.7071067811865476"
"Mus musculus","200","0.4","0.7","MFCC","9","0.0","0.4820809248554913","0.8660254037844386"
"Mus musculus","200","0.4","0.7","MFCC","2","0.4183300132670378","0.4774566473988439","0.7071067811865476"
"Mus musculus","200","0.4","0.7","MFCC","6","0.5773502691896257","0.5017341040462427","0.8660254037844386"
"Mus musculus","200","0.4","0.7","MFCC","3","0.5916079783099616","0.47167630057803467","0.7071067811865476"
"Mus musculus","200","0.4","0.7","MFCC","1","0.4183300132670378","0.45895953757225433","0.6614378277661477"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","8","0.5819535640744167","0.6837763519706691","0.7849358319984058"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","5","0.5955500003825581","0.6590284142988084","0.7768849952586214"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","6","0.5872202195147035","0.69019248395967","0.6722522420364822"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","4","0.6228410989030497","0.6590284142988084","0.8298249619381314"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","2","0.5778739430108345","0.692942254812099","0.8338262841799539"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","9","0.536821515870478","0.6984417965169569","0.7910370692770435"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","1","0.5217588570404736","0.8533455545371219","0.7692307692307693"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","7","0.5819535640744167","0.7314390467461045","0.760527689741738"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","3","0.48626453908386463","0.687442713107241","0.737820234355803"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","0","0.5452202862359274","0.6590284142988084","0.7536891516255932"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","5","0.0","0.47030497592295345","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","7","0.0","0.46468699839486355","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","1","0.0","0.49357945425361155","0.4472135954999579"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","8","0.0","0.46869983948635635","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","6","0.0","0.45746388443017655","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","0","0.0","0.46147672552166935","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","2","0.0","0.45585874799357945","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","4","0.0","0.45585874799357945","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","9","0.0","0.45746388443017655","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","3","0.0","0.463884430176565","0.0"
