"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","0","62.019999999999996","88.64","0.4934456928838951"
"fly","100","0.2","0.5","1","83.21","74.53999999999999","0.5383895131086143"
"fly","100","0.2","0.5","2","33.15","84.52","0.5814606741573034"
"fly","100","0.2","0.5","3","36.309999999999995","68.38","0.5608614232209738"
"fly","100","0.2","0.5","4","49.17","75.59","0.600187265917603"
"fly","100","0.2","0.5","5","58.63","84.52","0.5627340823970037"
"fly","100","0.2","0.5","6","43.3","88.27000000000001","0.5692883895131086"
"fly","100","0.2","0.5","7","55.900000000000006","80.58","0.5580524344569289"
"fly","100","0.2","0.5","8","0.0","92.58","0.5589887640449438"
"fly","100","0.2","0.5","9","61.24000000000001","70.71","0.599250936329588"
"mouse","100","0.2","0.9","0","70.71","63.24999999999999","0.5707502374169041"
"mouse","100","0.2","0.9","1","64.55","77.46","0.5769230769230769"
"mouse","100","0.2","0.9","2","51.64","58.550000000000004","0.5584045584045584"
"mouse","100","0.2","0.9","3","52.22","0.0","0.5821462488129154"
"mouse","100","0.2","0.9","4","38.190000000000005","63.24999999999999","0.5754985754985755"
"mouse","100","0.2","0.9","5","73.03","70.71","0.5707502374169041"
"mouse","100","0.2","0.9","6","50.0","70.71","0.5745489078822412"
"mouse","100","0.2","0.9","7","0.0","63.24999999999999","0.5707502374169041"
"mouse","100","0.2","0.9","8","48.8","0.0","0.577397910731244"
"mouse","100","0.2","0.9","9","0.0","44.72","0.5455840455840456"
"worm","100","0.2","0.9","0","44.800000000000004","61.5","0.5451339915373766"
"worm","100","0.2","0.9","1","43.15","66.72","0.5267983074753173"
"worm","100","0.2","0.9","2","51.910000000000004","68.46","0.5169252468265162"
"worm","100","0.2","0.9","3","39.89","68.01","0.5486600846262342"
"worm","100","0.2","0.9","4","46.63","63.83","0.5514809590973202"
"worm","100","0.2","0.9","5","37.29","62.67","0.5282087447108603"
"worm","100","0.2","0.9","6","47.64","68.04","0.5514809590973202"
"worm","100","0.2","0.9","7","34.949999999999996","69.39","0.5112834978843441"
"worm","100","0.2","0.9","8","52.39","62.08","0.5543018335684062"
"worm","100","0.2","0.9","9","61.199999999999996","67.36","0.5366713681241185"
"yeast","100","0.2","0.5","0","62.88","50.0","0.5690897184020957"
"yeast","100","0.2","0.5","1","34.93","44.72","0.573018991486575"
"yeast","100","0.2","0.5","2","0.0","0.0","0.5893909626719057"
"yeast","100","0.2","0.5","3","49.13","63.24999999999999","0.5258677144728225"
"yeast","100","0.2","0.5","4","0.0","50.0","0.5749836280288146"
"yeast","100","0.2","0.5","5","56.07","0.0","0.5965946299934513"
"yeast","100","0.2","0.5","6","0.0","63.24999999999999","0.5703994760969221"
"yeast","100","0.2","0.5","7","0.0","44.72","0.5861165684348395"
"yeast","100","0.2","0.5","8","40.1","44.72","0.5350360183366077"
"yeast","100","0.2","0.5","9","0.0","44.72","0.5396201702685003"
