organism,populationSize,mutationProbability,crossoverProbability,kValue,runningDataset,fold,GMean,selectionRate,Best GMean AGMO
Drosophila melanogaster,100,0.20000000298023224,0.5,1,CC,3,0.8058229640253803,0.5978835978835979,0.8058229640253803
Drosophila melanogaster,100,0.20000000298023224,0.5,1,MF,3,0.9258200997725514,0.6194225721784777,0.9258200997725514
Drosophila melanogaster,100,0.20000000298023224,0.5,1,MFCC,3,0.9534625892455924,0.6508771929824562,0.9534625892455924
Drosophila melanogaster,100,0.20000000298023224,0.5,1,BP,3,0.9534625892455924,0.5900562851782364,0.9534625892455924
Drosophila melanogaster,100,0.20000000298023224,0.5,1,BPCC,3,0.9534625892455924,0.5944223107569722,0.9534625892455924
Drosophila melanogaster,100,0.20000000298023224,0.5,1,BPMF,3,0.9534625892455924,0.6744989633724948,0.9534625892455924
Drosophila melanogaster,100,0.20000000298023224,0.5,1,BPMFCC,3,0.9534625892455924,0.5831295843520783,0.9534625892455924
Mus musculus,100,0.20000000298023224,0.5,1,CC,3,1.0,0.5061349693251533,1.0
Mus musculus,100,0.20000000298023224,0.5,1,MF,3,0.9354143466934853,0.62152133580705,0.9354143466934853
Mus musculus,100,0.20000000298023224,0.5,1,MFCC,3,1.0,0.5664739884393064,1.0
Mus musculus,100,0.20000000298023224,0.5,1,BP,3,0.8660254037844386,0.5922509225092251,0.8660254037844386
Mus musculus,100,0.20000000298023224,0.5,1,BPCC,3,1.0,0.6218925421010425,1.0
Mus musculus,100,0.20000000298023224,0.5,1,BPMF,3,0.8100925873009825,0.6032508311784263,0.8100925873009825
Mus musculus,100,0.20000000298023224,0.5,1,BPMFCC,3,0.9354143466934853,0.6923837784371909,0.9354143466934853
Caenorhabditis elegans,100,0.20000000298023224,0.5,1,CC,3,0.6177837847772697,0.7135549872122762,0.8158924398306318
Caenorhabditis elegans,100,0.20000000298023224,0.5,1,MF,3,0.6504436355879909,0.8042857142857143,0.795233581851359
Caenorhabditis elegans,100,0.20000000298023224,0.5,1,MFCC,3,0.8067760370539627,0.7873510540788268,0.8067760370539627
Caenorhabditis elegans,100,0.20000000298023224,0.5,1,BP,3,0.8745243846847748,0.8056562726613488,0.8745243846847748
Caenorhabditis elegans,100,0.20000000298023224,0.5,1,BPCC,3,0.8266994330847953,0.6649717514124294,0.8266994330847953
Caenorhabditis elegans,100,0.20000000298023224,0.5,1,BPMF,3,0.8298249619381314,0.7787397787397787,0.8298249619381314
Caenorhabditis elegans,100,0.20000000298023224,0.5,1,BPMFCC,3,0.8266994330847953,0.8161943319838056,0.8266994330847953
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,1,CC,3,0.0,0.5990338164251208,0.7361626748694664
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,1,MF,3,0.8191262063537486,0.6430288461538461,0.8191262063537486
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,1,MFCC,3,0.6324555320336759,0.6974317817014446,0.6324555320336759
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,1,BP,3,0.722897396012249,0.6554441260744985,0.8191262063537486
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,1,BPCC,3,0.8650936924831862,0.6883977900552486,0.8650936924831862
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,1,BPMF,3,0.7745966692414834,0.6929982046678635,0.7745966692414834
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,1,BPMFCC,3,0.762000762001143,0.7452687358062074,0.762000762001143
Drosophila melanogaster,100,0.20000000298023224,0.5,5,CC,3,0.6241877839323592,0.6455026455026455,0.7207499701564473
Drosophila melanogaster,100,0.20000000298023224,0.5,5,MF,3,0.7207499701564472,0.7007874015748031,0.8058229640253803
