"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","","","","0","33.97","",""
"fly","","","","1","32.519999999999996","",""
"fly","","","","2","0.0","",""
"fly","","","","3","36.309999999999995","",""
"fly","","","","4","37.8","",""
"fly","","","","5","47.870000000000005","",""
"fly","","","","6","32.269999999999996","",""
"fly","","","","7","45.64","",""
"fly","","","","8","33.85","",""
"fly","","","","9","64.55","",""
"mouse","","","","0","54.010000000000005","",""
"mouse","","","","1","44.72","",""
"mouse","","","","2","63.24999999999999","",""
"mouse","","","","3","59.63","",""
"mouse","","","","4","55.779999999999994","",""
"mouse","","","","5","39.44","",""
"mouse","","","","6","44.72","",""
"mouse","","","","7","0.0","",""
"mouse","","","","8","59.160000000000004","",""
"mouse","","","","9","0.0","",""
"worm","","","","0","50.29","",""
"worm","","","","1","29.65","",""
"worm","","","","2","52.080000000000005","",""
"worm","","","","3","40.849999999999994","",""
"worm","","","","4","44.75","",""
"worm","","","","5","51.67","",""
"worm","","","","6","47.910000000000004","",""
"worm","","","","7","57.26","",""
"worm","","","","8","41.91","",""
"worm","","","","9","40.82","",""
"yeast","","","","0","0.0","",""
"yeast","","","","1","0.0","",""
"yeast","","","","2","0.0","",""
"yeast","","","","3","0.0","",""
"yeast","","","","4","0.0","",""
"yeast","","","","5","0.0","",""
"yeast","","","","6","0.0","",""
"yeast","","","","7","0.0","",""
"yeast","","","","8","44.72","",""
"yeast","","","","9","0.0","",""
