"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","0","43.85","86.6","0.6410256410256411"
"fly","100","0.2","0.5","1","79.66","92.58","0.6227106227106227"
"fly","100","0.2","0.5","2","44.47","86.6","0.6336996336996337"
"fly","100","0.2","0.5","3","51.35999999999999","84.52","0.6117216117216118"
"fly","100","0.2","0.5","4","31.45","92.58","0.63003663003663"
"fly","100","0.2","0.5","5","33.85","95.74000000000001","0.6556776556776557"
"fly","100","0.2","0.5","6","53.03","95.74000000000001","0.608058608058608"
"fly","100","0.2","0.5","7","60.38","86.6","0.5274725274725275"
"fly","100","0.2","0.5","8","33.85","91.29","0.608058608058608"
"fly","100","0.2","0.5","9","46.77","100.0","0.6483516483516484"
"mouse","100","0.2","0.9","0","55.900000000000006","89.44","0.6085106382978723"
"mouse","100","0.2","0.9","1","68.31","83.67","0.5808510638297872"
"mouse","100","0.2","0.9","2","68.31","86.6","0.5574468085106383"
"mouse","100","0.2","0.9","3","57.74","100.0","0.6148936170212767"
"mouse","100","0.2","0.9","4","55.779999999999994","93.54","0.6021276595744681"
"mouse","100","0.2","0.9","5","51.64","83.67","0.6"
"mouse","100","0.2","0.9","6","44.72","83.67","0.5531914893617021"
"mouse","100","0.2","0.9","7","35.36","86.6","0.625531914893617"
"mouse","100","0.2","0.9","8","72.46000000000001","86.6","0.5723404255319149"
"mouse","100","0.2","0.9","9","41.83","89.44","0.6021276595744681"
"worm","100","0.2","0.9","0","56.269999999999996","80.08999999999999","0.4881720430107527"
"worm","100","0.2","0.9","1","46.18","73.76","0.5182795698924731"
"worm","100","0.2","0.9","2","54.769999999999996","78.53","0.5225806451612903"
"worm","100","0.2","0.9","3","50.29","79.27","0.5526881720430108"
"worm","100","0.2","0.9","4","30.8","74.15","0.5290322580645161"
"worm","100","0.2","0.9","5","50.760000000000005","76.03999999999999","0.578494623655914"
"worm","100","0.2","0.9","6","50.760000000000005","74.74","0.5311827956989247"
"worm","100","0.2","0.9","7","52.12","72.06","0.4946236559139785"
"worm","100","0.2","0.9","8","17.78","72.8","0.5376344086021505"
"worm","100","0.2","0.9","9","42.68","77.01","0.546236559139785"
"yeast","100","0.2","0.5","0","0.0","91.99000000000001","0.5204582651391162"
"yeast","100","0.2","0.5","1","62.129999999999995","90.58","0.5515548281505729"
"yeast","100","0.2","0.5","2","44.46","92.67999999999999","0.5090016366612111"
"yeast","100","0.2","0.5","3","0.0","100.0","0.6268412438625205"
"yeast","100","0.2","0.5","4","0.0","89.16","0.5646481178396072"
"yeast","100","0.2","0.5","5","44.2","85.49","0.5826513911620295"
"yeast","100","0.2","0.5","6","0.0","75.32","0.546644844517185"
"yeast","100","0.2","0.5","7","62.88","94.73","0.5597381342062193"
"yeast","100","0.2","0.5","8","62.51","94.05","0.55810147299509"
"yeast","100","0.2","0.5","9","43.669999999999995","86.05000000000001","0.5499181669394435"
