"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","0","0.0","37.8","0.8955223880597015"
"fly","100","0.2","0.5","1","0.0","37.8","0.8805970149253731"
"fly","100","0.2","0.5","2","0.0","0.0","0.9253731343283582"
"fly","100","0.2","0.5","3","37.8","37.8","0.8656716417910447"
"fly","100","0.2","0.5","4","0.0","37.8","0.8656716417910447"
"fly","100","0.2","0.5","5","0.0","53.449999999999996","0.8656716417910447"
"fly","100","0.2","0.5","6","0.0","0.0","0.8805970149253731"
"fly","100","0.2","0.5","7","0.0","37.8","0.8805970149253731"
"fly","100","0.2","0.5","8","0.0","37.8","0.8656716417910447"
"fly","100","0.2","0.5","9","0.0","37.8","0.8507462686567164"
"mouse","100","0.2","0.9","0","0.0","44.72","0.8137254901960784"
"mouse","100","0.2","0.9","1","0.0","0.0","0.8431372549019608"
"mouse","100","0.2","0.9","2","0.0","0.0","0.8431372549019608"
"mouse","100","0.2","0.9","3","0.0","44.72","0.8137254901960784"
"mouse","100","0.2","0.9","4","0.0","0.0","0.8333333333333334"
"mouse","100","0.2","0.9","5","0.0","63.24999999999999","0.8137254901960784"
"mouse","100","0.2","0.9","6","0.0","44.72","0.8137254901960784"
"mouse","100","0.2","0.9","7","0.0","0.0","0.8137254901960784"
"mouse","100","0.2","0.9","8","0.0","0.0","0.8431372549019608"
"mouse","100","0.2","0.9","9","0.0","0.0","0.8333333333333334"
"worm","100","0.2","0.9","0","25.369999999999997","56.05","0.6455696202531646"
"worm","100","0.2","0.9","1","17.78","47.63","0.6835443037974683"
"worm","100","0.2","0.9","2","53.339999999999996","51.449999999999996","0.6772151898734177"
"worm","100","0.2","0.9","3","26.06","58.34","0.6582278481012658"
"worm","100","0.2","0.9","4","18.740000000000002","48.54","0.6265822784810127"
"worm","100","0.2","0.9","5","26.06","40.0","0.6265822784810127"
"worm","100","0.2","0.9","6","18.43","44.31","0.6772151898734177"
"worm","100","0.2","0.9","7","36.54","44.31","0.6329113924050633"
"worm","100","0.2","0.9","8","31.64","46.68","0.6518987341772152"
"worm","100","0.2","0.9","9","36.84","48.04","0.6139240506329114"
"yeast","100","0.2","0.5","0","0.0","0.0","0.7378640776699029"
"yeast","100","0.2","0.5","1","0.0","0.0","0.7378640776699029"
"yeast","100","0.2","0.5","2","0.0","0.0","0.7475728155339806"
"yeast","100","0.2","0.5","3","0.0","0.0","0.7378640776699029"
"yeast","100","0.2","0.5","4","0.0","49.68","0.7281553398058253"
"yeast","100","0.2","0.5","5","0.0","0.0","0.7427184466019418"
"yeast","100","0.2","0.5","6","0.0","49.68","0.7184466019417476"
"yeast","100","0.2","0.5","7","0.0","0.0","0.7378640776699029"
"yeast","100","0.2","0.5","8","0.0","0.0","0.7281553398058253"
"yeast","100","0.2","0.5","9","0.0","0.0","0.7330097087378641"
