"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","0","32.519999999999996","53.449999999999996","0.6567164179104478"
"fly","100","0.2","0.5","1","0.0","51.18000000000001","0.7910447761194029"
"fly","100","0.2","0.5","2","0.0","0.0","0.8805970149253731"
"fly","100","0.2","0.5","3","37.8","65.47","0.835820895522388"
"fly","100","0.2","0.5","4","0.0","37.8","0.8805970149253731"
"fly","100","0.2","0.5","5","0.0","53.449999999999996","0.8656716417910447"
"fly","100","0.2","0.5","6","0.0","72.37","0.7910447761194029"
"fly","100","0.2","0.5","7","0.0","65.47","0.8805970149253731"
"fly","100","0.2","0.5","8","0.0","53.449999999999996","0.835820895522388"
"fly","100","0.2","0.5","9","50.0","75.59","0.8208955223880597"
"mouse","100","0.2","0.9","0","40.82","44.72","0.8235294117647058"
"mouse","100","0.2","0.9","1","0.0","41.83","0.7058823529411765"
"mouse","100","0.2","0.9","2","63.24999999999999","0.0","0.8333333333333334"
"mouse","100","0.2","0.9","3","0.0","63.24999999999999","0.8137254901960784"
"mouse","100","0.2","0.9","4","42.16","44.72","0.8137254901960784"
"mouse","100","0.2","0.9","5","0.0","77.46","0.7941176470588235"
"mouse","100","0.2","0.9","6","0.0","44.72","0.8235294117647058"
"mouse","100","0.2","0.9","7","41.83","44.72","0.8235294117647058"
"mouse","100","0.2","0.9","8","63.24999999999999","0.0","0.8333333333333334"
"mouse","100","0.2","0.9","9","0.0","89.44","0.8235294117647058"
"worm","100","0.2","0.9","0","40.82","51.449999999999996","0.6518987341772152"
"worm","100","0.2","0.9","1","42.75","56.63","0.6772151898734177"
"worm","100","0.2","0.9","2","47.46","61.5","0.5379746835443038"
"worm","100","0.2","0.9","3","31.64","62.08","0.6708860759493671"
"worm","100","0.2","0.9","4","41.21","52.92","0.7025316455696202"
"worm","100","0.2","0.9","5","18.9","48.99","0.7088607594936709"
"worm","100","0.2","0.9","6","40.489999999999995","44.31","0.6962025316455697"
"worm","100","0.2","0.9","7","31.64","44.31","0.740506329113924"
"worm","100","0.2","0.9","8","0.0","43.03","0.7721518987341772"
"worm","100","0.2","0.9","9","35.86","61.45","0.6139240506329114"
"yeast","100","0.2","0.5","0","0.0","70.26","0.6796116504854369"
"yeast","100","0.2","0.5","1","62.88","70.71","0.6990291262135923"
"yeast","100","0.2","0.5","2","0.0","49.68","0.6796116504854369"
"yeast","100","0.2","0.5","3","0.0","70.71","0.6941747572815534"
"yeast","100","0.2","0.5","4","0.0","50.0","0.7087378640776699"
"yeast","100","0.2","0.5","5","43.93","49.68","0.7087378640776699"
"yeast","100","0.2","0.5","6","0.0","50.0","0.7378640776699029"
"yeast","100","0.2","0.5","7","0.0","50.0","0.6553398058252428"
"yeast","100","0.2","0.5","8","62.129999999999995","0.0","0.7378640776699029"
"yeast","100","0.2","0.5","9","44.72","70.71","0.6504854368932039"
