"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","","","","0","0.0","",""
"fly","","","","1","61.24000000000001","",""
"fly","","","","2","60.22","",""
"fly","","","","3","46.88","",""
"fly","","","","4","33.15","",""
"fly","","","","5","55.900000000000006","",""
"fly","","","","6","0.0","",""
"fly","","","","7","33.85","",""
"fly","","","","8","55.900000000000006","",""
"fly","","","","9","58.63","",""
"mouse","","","","0","50.0","",""
"mouse","","","","1","44.72","",""
"mouse","","","","2","42.16","",""
"mouse","","","","3","42.16","",""
"mouse","","","","4","39.44","",""
"mouse","","","","5","57.74","",""
"mouse","","","","6","0.0","",""
"mouse","","","","7","63.24999999999999","",""
"mouse","","","","8","0.0","",""
"mouse","","","","9","0.0","",""
"worm","","","","0","54.14","",""
"worm","","","","1","38.66","",""
"worm","","","","2","53.82","",""
"worm","","","","3","40.489999999999995","",""
"worm","","","","4","25.61","",""
"worm","","","","5","47.04","",""
"worm","","","","6","41.56","",""
"worm","","","","7","56.75","",""
"worm","","","","8","41.21","",""
"worm","","","","9","47.870000000000005","",""
"yeast","","","","0","70.3","",""
"yeast","","","","1","44.2","",""
"yeast","","","","2","44.72","",""
"yeast","","","","3","0.0","",""
"yeast","","","","4","0.0","",""
"yeast","","","","5","44.46","",""
"yeast","","","","6","0.0","",""
"yeast","","","","7","62.129999999999995","",""
"yeast","","","","8","61.760000000000005","",""
"yeast","","","","9","43.4","",""
