"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","","","","0","32.519999999999996","",""
"fly","","","","1","50.0","",""
"fly","","","","2","36.309999999999995","",""
"fly","","","","3","46.88","",""
"fly","","","","4","0.0","",""
"fly","","","","5","35.36","",""
"fly","","","","6","0.0","",""
"fly","","","","7","33.85","",""
"fly","","","","8","35.36","",""
"fly","","","","9","47.870000000000005","",""
"mouse","","","","0","54.010000000000005","",""
"mouse","","","","1","44.72","",""
"mouse","","","","2","63.24999999999999","",""
"mouse","","","","3","39.44","",""
"mouse","","","","4","39.44","",""
"mouse","","","","5","0.0","",""
"mouse","","","","6","0.0","",""
"mouse","","","","7","41.83","",""
"mouse","","","","8","0.0","",""
"mouse","","","","9","0.0","",""
"worm","","","","0","46.18","",""
"worm","","","","1","37.519999999999996","",""
"worm","","","","2","58.43000000000001","",""
"worm","","","","3","45.14","",""
"worm","","","","4","47.910000000000004","",""
"worm","","","","5","41.21","",""
"worm","","","","6","40.489999999999995","",""
"worm","","","","7","48.870000000000005","",""
"worm","","","","8","40.489999999999995","",""
"worm","","","","9","39.34","",""
"yeast","","","","0","0.0","",""
"yeast","","","","1","43.4","",""
"yeast","","","","2","0.0","",""
"yeast","","","","3","0.0","",""
"yeast","","","","4","0.0","",""
"yeast","","","","5","0.0","",""
"yeast","","","","6","0.0","",""
"yeast","","","","7","0.0","",""
"yeast","","","","8","62.88","",""
"yeast","","","","9","0.0","",""
